title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Serologische Untersuchungen von Blutspenden auf Antikörper gegen SARS-CoV-2 (SeBluCo-Studie),Bundesweit,Bundesweit,Deutschland,,,,,,Bundesweit,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Wiederholte Querschnitte,Blutspendende,Blutspenderinnen und Blutspender aus 28 Regionen,Allgemeinbevölkerung,Erwachsene,74,18,Blutspende,Samples von Teilnehmenden,3400,2021-08-30,2021-09-12,,,,,,Seroprävalenz der Blutspendenden für den Zeitraum September 2021,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html,2021-12-16,Institutional report,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Nicht adjustiert,0.883,0.994,0.876,,,,2022-01-21,
SARS-CoV-2 spezifische Immunität und Serokonversion von Rettungsdienst,Lokal/Regional,Nordrhein-Westfalen,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Querschnitt,Systemrelevant Arbeitende ausserhalb des Gesundheitssektors,Mitarbeitende des Rettungsdienstes der Stadt Essen,Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,700,2020-05-27,2020-05-29,https://doi.org/10.1007/s10049-021-00948-z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARS-CoV-2 spezifische Immunität und Serokonversion von COVID-Kontaktpersonen,Lokal/Regional,Nordrhein-Westfalen,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Querschnitt,Kontaktpersonen COVID-Patient*innen,Medizinisches Personal mit Kontakt zu COVID-19-Patientinnen und -Patienten,Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,300,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga-Prävalenzstudie,Lokal/Regional,Multilokal,Deutschland,,,,,,Multilokal,Universität des Saarlandes,,,,,,,,"Universität des Saarlandes, Labor Bioscientia Ingelheim",,,Längsschnitt/Prospektive Kohortenstudie,"Nicht-systemrelevante Arbeitende, Arbeitslose",Spieler und Betreuende der 36 Vereine der 1. und 2. Bundesliga,Besondere Bevölkerungsgruppen,Erwachsene,69,20,Nicht-zufällige Ziehung/convenience sample,Samples von Teilnehmenden,2200,2020-05-01,,http://dx.doi.org/10.1136/bjsports-2020-103150,https://doi.org/10.1016/j.cmi.2020.11.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serologisch-epidemiologische Erhebung von Antikörpern bei Krankenhausmitarbeiterinnen und -mitarbeitern während der SARS-CoV-2-Epidemie in Brandenburg,Lokal/Regional,Brandenburg,Lauchhammer,Senftenberg,,,,,Lauchhammer und Senftenberg,Klinikum Niederlausitz,Brandenburgische Technische Universität Cottbus-Senftenberg,Medizinische Hochschule Brandenburg,,,,,,"Klinikum Niederlausitz, Brandenburgische Technische Universität Cottbus-Senftenberg, Medizinische Hochschule Brandenburg",,,Längsschnitt/Prospektive Kohortenstudie,Gesundheitspersonal (HCW) und Pflegende,Klinikpersonal mit unterschiedlichen Expositionsstufen des Klinikums Niederlausitz,Besondere Bevölkerungsgruppen,Erwachsene,65,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,200,2020-07-01,2020-07-31,https://doi.org/10.21203/rs.3.rs-84703/v1,https://doi.org/10.3390/ijerph182010999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiwillige interne Unternehmensstudie zur Unterstützung der Transparenz und des betrieblichen Schutzkonzeptes im Rahmen der COVID19 Pandemie,Lokal/Regional,Hamburg,Hamburg,,,,,,Hamburg,"OHLY GmbH, Hamburg",,,,,,,," OHLY GmbH, Hamburg ",,,Querschnitt,"Nicht-systemrelevante Arbeitende, Arbeitslose",Mitarbeitende an einem Produktionsstandort der OHLY GmbH,Besondere Bevölkerungsgruppen,Erwachsene,65,20,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,100,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seroprävalenz von Antikörpern gegen COVID-19 bei Klinikpersonal im Vergleich zu einem großen mittelständischen Unternehmen in der ""hot-spot"" Region Tirschenreuth (AK-TIR-COVID-19)",Lokal/Regional,Bayern,Tirschenreuth,,,,,,Tirschenreuth,Kliniken Nordoberpfalz AG,,,,,,,,Kliniken Nordoberpfalz AG,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021813,,Querschnitt,Andere Gruppen,"Mitarbeitende aus verschiedenen Abteilungen und Berufsgruppen der Kliniken Oberpfalz AG und eines großen, mittelständigen Unternehmens der Region Tirschenreuth/Weiden",Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,1800,2020-06-29,2020-07-29,https://doi.org/10.1007/s00063-020-00761-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serologisches Screening und metabolische Untersuchungen zur Erforschung der Immunantwort gegen SARS-CoV2 (COVID-19),Lokal/Regional,Baden-Württemberg,Freiburg,,,,,,Freiburg,Universitätsklinikum Freiburg,,,,,,,,"Klinik für Innere Medizin I, Universitätsklinikum Freiburg",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022292,,Quer- und selektiver Längsschnitt,Andere Gruppen,"Mitarbeitende des Universitätsklinikums Freiburg, des Universitätsherzzentrums Freiburg sowie ihre Familienangehörigen",Besondere Bevölkerungsgruppen,Erwachsene,,5,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,300,2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untersuchung des Immunstatus SARS-CoV-2 bei medizinischem Personal in der Thüringer Primärversorgung (COVID-PraxImmun),Lokal/Regional,Thüringen,Thüringen,,,,,,Thüringen,Kassenärztliche Vereinigung Thüringen,Zentralinstitut für die kassenärztliche Versorgung (Zi),,,,,,,"Kassenärztliche Vereinigung Thüringen, Zentralinstitut für die kassenärztliche Versorgung (Zi)",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021815,https://www.coronatest-thueringen.de/,Wiederholte Querschnitte,Gesundheitspersonal (HCW) und Pflegende," Ärztinnen und Ärzte sowie Mitarbeitende in Vertragsarztpraxen der Thüringer Kassenärztlichen Vereinigung",Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Arztpraxen mit Teilnehmenden,3000,2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seroprävalenz von SARS-CoV-2 bei Mitarbeiterinnen und Mitarbeitern eines Klinik-Verbunds mit COVID-Zentrum (SLKovid),Lokal/Regional,Baden-Württemberg,Heilbronn,,,,,,Heilbronn,SLK-Kliniken Heilbronn GmbH,,,,,,,," SLK-Kliniken Heilbronn GmbH",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022226,,Querschnitt,Gesundheitspersonal (HCW) und Pflegende,Mitarbeitende des Klinikverbunds,Besondere Bevölkerungsgruppen,Mehrere,,16,Vollerhebung der Grundgesamtheit,Teilnehmende,3100,2020-07-01,2020-07-21,https://doi.org/10.3390/ijerph18137057,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-14,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,3100,2020-05-06,2021-02-27,https://elisa-luebeck.de/einjaehrige-corona-studie-zu-antikoerpern-mit-rund-3000-probandinnen-und-probanden-zeigt-dunkelziffer-ist-deutlich-zurueckgegangen/,https://doi.org/10.1101/2021.05.10.21256966,https://doi.org/10.1126/sciadv.abm5016,https://doi.org/10.1186/s12889-022-13666-z,,Seroprävalenz für die gesamte Kohorte für den Zeitraum Mai 2020 bis February 2021,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.035,,,2022-05-04,2022-05-10,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,3100,2020-05-06,2020-05-31,,,,,,Seroprävalenz in der Kohorte für den Monat Mai 2020,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0079,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,2900,2020-07-01,2020-07-31,,,,,,Seroprävalenz in der Kohorte für den Monat Juli 2020,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0017,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,2700,2020-09-01,2020-09-30,,,,,,Seroprävalenz in der Kohorte für den Monat September 2020,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.003,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,2600,2020-12-01,2020-12-31,,,,,,Seroprävalenz in der Kohorte für den Monat Dezember 2020,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0112,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Lokal/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck und angrenzende Postleitzahlgebiete,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Lübeckerinnen und Lübecker, die sich über eine App registriert hatten und nach Risikoverhalten in zwei Gruppen aufgeteilt wurden",Allgemeinbevölkerung,Erwachsene,79,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,2100,2021-02-01,2021-02-27,,,,,,Seroprävalenz in der Kohorte für den Monat Februar 2021,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.011,,,2022-05-04,2022-05-10,
Prevalence of serum IgG antibodies against SARS-CoV-2 among clinic staff,Lokal/Regional,Niedersachsen,Hessisch Oldendorf,,,,,,Hessisch Oldendorf,"BDH-Klinik Hessisch Oldendorf, Institut für neurorehabilitative Forschung (InFo)",BDH-Klinik Hessisch Oldendorf,,,,,,,"BDH-Klinik Hessisch Oldendorf, Institut für neurorehabilitative Forschung (InFo)",,,Querschnitt,Gesundheitspersonal (HCW) und Pflegende,Beschäftigte einer neurologischen Rehabilitationsklinik,Besondere Bevölkerungsgruppen,Erwachsene,,18,Vollerhebung der Grundgesamtheit,Teilnehmende,400,2020-04-20,2020-04-30,https://doi.org/10.1371/journal.pone.0235417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID Kids Bavaria,Lokal/Regional,Bayern,Bayern,,,,,,Institutionen aus allen 46 Wahlkreisen Bayerns,Ludwig-Maximilians-Universität (LMU) München,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital,Dr. von Haunersches Kinderspital,,,,,,"Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, Ludwig-Maximilians-Universität (LMU) München",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022380,https://www.covid-kids-bavaria.de/covid-kids,Querschnitt,"Schule, Kindertagesstätte",Schülerinnen und Schüler an 15 ausgewählten Grundschulen aus allen 46 Wahlkreisen Bayerns,Allgemeinbevölkerung,Kinder/Jugendliche ≤ 18Jahre,12,6,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,500,2020-06-15,2020-07-15,,,,,,Seroprävalenz von Schülern und Schülerinnen an Grundschulen in Bayern für den Zeitraum Juni/Juli 2021,https://doi.org/10.3389/fped.2022.888498,2022-07-06,Peer-reviewed Publikation,Kapillarblut,anti Nucleocapsid,Gesamt Ig-Antikörper,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,,,,0.076,0.055,0.103,2022-01-27,2022-08-09,
Teilprojekt der COVID Kids Bavaria Studie,Lokal/Regional,Bayern,Bayern,München,,,,,"Bayern, Schwerpunkt München",Ludwig-Maximilians-Universität (LMU) München,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital,Dr. von Haunersches Kinderspital,,,,,,"Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, Ludwig-Maximilians-Universität (LMU) München",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022380,https://www.covid-kids-bavaria.de/covid-kids,Querschnitt,"Schule, Kindertagesstätte","Schülerinnen, Schüler und Lehrkräfte an ausgewählten Grundschulen in Bayern",Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Mehrere,,5,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,1000,2021-04-15,,"https://doi.org/10.1101/2022.01.18.22269445 ",https://dx.doi.org/10.3389/fped.2022.888498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Bundesweit,Bundesweit,Deutschland,,,,,,Bundesweit,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Teilnehmende aus der langjährig etablierten, für die erwachsene Bevölkerung repräsentativen forsa-Kohorte",Allgemeinbevölkerung,Erwachsene,,18,Kohortenstichprobe - Ziehung aus Kohortenstudie der Allgemeinbevökerung,Teilnehmende,11000,2020-06-30,2020-08-12,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Bundesweit,Bundesweit,Deutschland,,,,,,Bundesweit,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Teilnehmende aus der langjährig etablierten, für die erwachsene Bevölkerung repräsentativen forsa-Kohorte",Allgemeinbevölkerung,Erwachsene,,18,Kohortenstichprobe - Ziehung aus Kohortenstudie der Allgemeinbevökerung,Teilnehmende,10200,2020-06-30,2020-08-12,,,,,,Seroprävalenz der ersten Studienwelle von Teilnehmenden der forsa-Kohorte,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,2020-11-27,Institutional report,Vollblut,anti Nucleocapsid,Gesamt Ig-Antikörper,"ELISA ",ROCHE N,,,,,,,ROCHE N,Bevölkerungsgewichtet,,,0.005,0.0038,0.0065,2021-08-06,2021-11-01,1.8
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Bundesweit,Bundesweit,Deutschland,,,,,,Bundesweit,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,"Teilnehmende aus der langjährig etablierten, für die erwachsene Bevölkerung repräsentativen forsa-Kohorte",Allgemeinbevölkerung,Erwachsene,,18,Kohortenstichprobe - Ziehung aus Kohortenstudie der Allgemeinbevökerung,Teilnehmende,9900,2020-10-26,2020-11-18,,,,,,Seroprävalenz der zweiten Studienwelle von Teilnehmenden der forsa-Kohorte,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,2020-11-27,Institutional report,Vollblut,anti Nucleocapsid,Gesamt Ig-Antikörper,"ELISA ",ROCHE N,,,,,,,ROCHE N,Bevölkerungsgewichtet,,,0.0111,0.0092,0.0133,2021-08-06,2021-11-03,
"Prospektive, sero-epidemiologische Längsschnittstudie zur SARS-CoV-2 Prävalenz bei Kita-, Kindergarten- und Schulkindern – Eine Tübinger Modellstudie (Coro-Buddy)",Lokal/Regional,Baden-Württemberg,Tübingen,,,,,,Tübingen,"Eberhard Karls Universität Tübingen, Institut für Tropenmedizin",Eberhard Karls Universität Tübingen,,,,,,,"Institut für Tropenmedizin, Eberhard Karls Universität Tübingen",https://clinicaltrials.gov/ct2/show/NCT04581889,https://www.medizin.uni-tuebingen.de/de/covid-19-studie,Längsschnitt/Prospektive Kohortenstudie,"Schule, Kindertagesstätte","Kinder und Jugendliche aus Tübinger Kitas, Kindergärten und Schulen",Allgemeinbevölkerung,Kinder/Jugendliche ≤ 18Jahre,17,1,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,1900,2020-07-02,2020-12-02,https://doi.org/10.2196/27739,https://doi.org/10.3389/fimmu.2021.753435,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-04,
"Prospektive, sero-epidemiologische Längsschnittstudie zur SARS-CoV-2 Prävalenz bei Kita-, Kindergarten- und Schulkindern – Eine Tübinger Modellstudie (Coro-Buddy)",Lokal/Regional,Baden-Württemberg,Tübingen,,,,,,Tübingen,"Eberhard Karls Universität Tübingen, Institut für Tropenmedizin",Eberhard Karls Universität Tübingen,,,,,,,"Institut für Tropenmedizin, Eberhard Karls Universität Tübingen",https://clinicaltrials.gov/ct2/show/NCT04581889,https://www.medizin.uni-tuebingen.de/de/covid-19-studie,Längsschnitt/Prospektive Kohortenstudie,"Schule, Kindertagesstätte","Kinder und Jugendliche aus Tübinger Kitas, Kindergärten und Schulen",Allgemeinbevölkerung,Kinder/Jugendliche ≤ 18Jahre,10,1,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,800,2020-09-09,2020-12-02,,,,,,"Seroprävalenz der 1 bis 10-Jährigen aus Tübinger Kitas, Kindergärten und Schulen",https://doi.org/10.3389/fimmu.2021.753435,2021-10-08,Peer-reviewed Publikation,"Kein Blut, Sputum",RBD,IgG,"ELISA ",In-house,,,,,,,Inhouse,Adjustiert für Test-Güte,0.87,1,0.016,0.009,0.029,2022-01-09,2022-02-01,3
UKGM-Mitarbeiter-Reihenuntersuchung zur Entwicklung eines SARS-CoV-2 („Coronavirus“)-Antikörpertiters,Lokal/Regional,Hessen,Marburg,,,,,,Marburg,Universitätsklinikum Marburg,Universitätsklinikum Gießen und Marburg,,,,,,,"Universitätsklinikum Marburg (UKGM, Standort Marburg)",,,Querschnitt,Gesundheitspersonal (HCW) und Pflegende,Mitarbeitende des UKGM,Besondere Bevölkerungsgruppen,Erwachsene,,18,Vollerhebung der Grundgesamtheit,Teilnehmende,3600,2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
