title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_obtained,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Serologische Untersuchungen von Blutspenden auf Antikörper gegen SARS-CoV-2 (SeBluCo-Studie),Nationwide,Nationwide,Germany,,,,,,Nationwide,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Repeated cross-sectional,Blood donors,Blood donors from 28 regions,General population,Adults,74,18,Blood donation,Samples of participants,9921,9900,2021-02-01,2021-02-28,,,,,,Seroprevalence among blood donors for the period of February 2021,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html,2021-06-10,Institutional report,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.994,0.079,0.0739,0.0845,,2021-10-17,
Serologische Untersuchungen von Blutspenden auf Antikörper gegen SARS-CoV-2 (SeBluCo-Studie),Nationwide,Nationwide,Germany,,,,,,Nationwide,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Repeated cross-sectional,Blood donors,Blood donors from 28 regions,General population,Adults,74,18,Blood donation,Samples of participants,9603,9600,2021-03-01,2021-03-31,,,,,,Seroprevalence among blood donors for the period of March 2021,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html,2021-06-10,Institutional report,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.994,0.1124,0.1124,0.1253,,2021-10-17,
Serologische Untersuchungen von Blutspenden auf Antikörper gegen SARS-CoV-2 (SeBluCo-Studie),Nationwide,Nationwide,Germany,,,,,,Nationwide,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Repeated cross-sectional,Blood donors,Blood donors from 28 regions,General population,Adults,74,18,Blood donation,Samples of participants,11333,11300,2021-04-01,2021-04-30,,,,,,Seroprevalence among blood donors for the period of April 2021,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html,2021-06-10,Institutional report,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.994,0.1922,0.1851,0.1996,,2021-10-17,
Serologische Untersuchungen von Blutspenden auf Antikörper gegen SARS-CoV-2 (SeBluCo-Studie),Nationwide,Nationwide,Germany,,,,,,Nationwide,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Repeated cross-sectional,Blood donors,Blood donors from 28 regions,General population,Adults,74,18,Blood donation,Samples of participants,3400,3400,2021-08-30,2021-09-12,,,,,,Seroprevalence among blood donors for the period of Semptember 2021,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html,2021-12-16,Institutional report,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Not adjusted,0.883,0.994,0.876,,,,2022-01-21,
SARS-CoV-2 spezifische Immunität und Serokonversion von Rettungsdienst,Local/Regional,North Rhine-Westphalia,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Cross sectional,Essential non-healthcare workers,Employees of the rescue service of the city of Essen,Selected population groups,Adults,,18,Convenience sample,Participants,732,700,2020-05-27,2020-05-29,https://doi.org/10.1007/s10049-021-00948-z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARS-CoV-2 spezifische Immunität und Serokonversion von COVID-Kontaktpersonen,Local/Regional,North Rhine-Westphalia,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Cross sectional,Known Contacts of COVID Patients,Medical personnel in contact with COVID-19 patients,Selected population groups,Adults,,18,Convenience sample,Participants,,300,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga-Prävalenzstudie,Local/Regional,Multilocal,Germany,,,,,,Multilocal,Universität des Saarlandes,,,,,,,,"Universität des Saarlandes, Labor Bioscientia Ingelheim",,,Longitudinal/Prospectice cohort study,Non-essential workers and unemployed persons,Players and support staff of the 36 clubs of the 1st and 2nd German soccer league,Selected population groups,Adults,69,20,Convenience sample,Samples of participants,,2200,2020-05-01,,http://dx.doi.org/10.1136/bjsports-2020-103150,https://doi.org/10.1016/j.cmi.2020.11.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serologisch-epidemiologische Erhebung von Antikörpern bei Krankenhausmitarbeiterinnen und -mitarbeitern während der SARS-CoV-2-Epidemie in Brandenburg,Local/Regional,Brandenburg,Lauchhammer,Senftenberg,,,,,Lauchhammer and Senftenberg,Klinikum Niederlausitz,Brandenburgische Technische Universität Cottbus-Senftenberg,Medizinische Hochschule Brandenburg,,,,,,"Klinikum Niederlausitz, Brandenburgische Technische Universität Cottbus-Senftenberg, Medizinische Hochschule Brandenburg",,,Longitudinal/Prospectice cohort study,Healthcare workers and caregivers,Clinic staff with different exposure levels of the Niederlausitz clinic,Selected population groups,Adults,65,18,Convenience sample,Participants,171,200,2020-07-01,2020-07-31,https://doi.org/10.21203/rs.3.rs-84703/v1,https://doi.org/10.3390/ijerph182010999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiwillige interne Unternehmensstudie zur Unterstützung der Transparenz und des betrieblichen Schutzkonzeptes im Rahmen der COVID19 Pandemie,Local/Regional,Hamburg,Hamburg,,,,,,Hamburg,"OHLY GmbH, Hamburg",,,,,,,," OHLY GmbH, Hamburg ",,,Cross sectional,Non-essential workers and unemployed persons,Employees at a production site of OHLY GmbH,Selected population groups,Adults,65,20,Convenience sample,Participants,,100,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibody assessment for COVID-19 prevalence two months after outbreak in the hot spot Region of Tirschenreuth / Bavaria,Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Kliniken Nordoberpfalz AG,,,,,,,,Kliniken Nordoberpfalz AG,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021813,,Cross sectional,Other groups,"Employees from various departments and professional groups of Kliniken Oberpfalz AG and a large, medium-sized company in the Tirschenreuth/Weiden region",Selected population groups,Adults,,18,Convenience sample,Participants,1838,1800,2020-06-29,2020-07-29,https://doi.org/10.1007/s00063-020-00761-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serological screening and metabolic analysis for evaluation of the immune response to SARS-CoV2 (COVID-19),Local/Regional,Baden-Wuerttemberg,Freiburg,,,,,,Freiburg,Universitätsklinikum Freiburg,,,,,,,,"Klinik für Innere Medizin I, Universitätsklinikum Freiburg",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022292,,Cross sectional and selective longitudinal,Other groups,"Employees of the Universitätsklinikum Freiburg, the Universitätsherzzentrum Freiburg and their family members",Selected population groups,Adults,,5,Convenience sample,Participants,,300,2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigation of the immune status against SARS-CoV-2 of medical professionals in Doctor's Practices in Thuringia (COVID-PraxImmun),Local/Regional,Thuringia,Thuringia,,,,,,Thuringia,Kassenärztliche Vereinigung Thüringen,Zentralinstitut für die kassenärztliche Versorgung (Zi),,,,,,,"Kassenärztliche Vereinigung Thüringen, Zentralinstitut für die kassenärztliche Versorgung (Zi)",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021815,https://www.coronatest-thueringen.de/,Repeated cross-sectional,Healthcare workers and caregivers,Physicians and employees in panel doctors' practices of the Thuringian Association of Panel Physicians,Selected population groups,Adults,,18,Convenience sample,Medical practices with participants,,3000,2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seroprevalence of SARS-CoV-2 in employees of a clinic with COVID-centre (COVID-19),Local/Regional,Baden-Wuerttemberg,Heilbronn,,,,,,Heilbronn,SLK-Kliniken Heilbronn GmbH,,,,,,,," SLK-Kliniken Heilbronn GmbH",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022226,,Cross sectional,Healthcare workers and caregivers,Employees of the clinic association,Selected population groups,Multiple,,16,Entire sample,Participants,3066,3100,2020-07-01,2020-07-21,https://doi.org/10.3390/ijerph18137057,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-14,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,3051,3100,2020-05-06,2021-02-27,https://elisa-luebeck.de/einjaehrige-corona-studie-zu-antikoerpern-mit-rund-3000-probandinnen-und-probanden-zeigt-dunkelziffer-ist-deutlich-zurueckgegangen/,https://doi.org/10.1101/2021.05.10.21256966,https://doi.org/10.1126/sciadv.abm5016,https://doi.org/10.1186/s12889-022-13666-z,,Seroprevalence for the total cohort for the period May 2020 to February 2021,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.035,,,2022-05-04,2022-05-10,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,3051,3100,2020-05-06,2020-05-31,,,,,,"Seroprevalence in the cohort for the month of May 2020 ",https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0079,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,2894,2900,2020-07-01,2020-07-31,,,,,,"Seroprevalence in the cohort for the month of July 2020 ",https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0017,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,2659,2700,2020-09-01,2020-09-30,,,,,,"Seroprevalence in the cohort for the month of September 2020 ",https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.003,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,2580,2600,2020-12-01,2020-12-31,,,,,,"Seroprevalence in the cohort for the month of December 2020 ",https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.0112,,,2022-05-04,,
LübEcker Längsschnittuntersuchung zu Infektionen mit SARS–CoV-2 (ELISA),Local/Regional,Schleswig-Holstein,Lübeck,,,,,,Lübeck and neighbouring postcode areas,"Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Epidemiologie und Sozialmedizin","Universitätsklinikum Schleswig-Holstein (UKSH), Klinik für Infektiologie und Mikrobiologie","Universitätsklinikum Schleswig-Holstein (UKSH), Institut für Neurogenetik, Campus Lübeck",Universität zu Lübeck,Universitätsklinikum Schleswig-Holstein (UKSH),,,,"Institut für Epidemiologie und Sozialmedizin, Klinik für Infektiologie und Mikrobiologie und Institut für Neurogenetik des UKSH Campus Lübeck und der Universität zu Lübeck",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00023418,https://elisa-luebeck.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Lübeck residents who had registered via an app and were divided into two groups according to risk their behavior,General population,Adults,79,18,Convenience sample,Participants,2057,2100,2021-02-01,2021-02-27,,,,,,Seroprevalence in the cohort for the month of February 2021,https://doi.org/10.1126/sciadv.abm5016,2022-04-15,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.011,,,2022-05-04,2022-05-10,
Prevalence of serum IgG antibodies against SARS-CoV-2 among clinic staff,Local/Regional,Lower Saxony,Hessian Oldendorf,,,,,,Hessian Oldendorf,"BDH-Klinik Hessisch Oldendorf, Institut für neurorehabilitative Forschung (InFo)",BDH-Klinik Hessisch Oldendorf,,,,,,,"BDH-Klinik Hessisch Oldendorf, Institut für neurorehabilitative Forschung (InFo)",,,Cross sectional,Healthcare workers and caregivers,Employees of a neurological rehabilitation clinic,Selected population groups,Adults,,18,Entire sample,Participants,385,400,2020-04-20,2020-04-30,https://doi.org/10.1371/journal.pone.0235417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID Kids Bavaria Studie,Local/Regional,Bavaria,Bavaria,,,,,,Institutions from all 46 electoral districts in Bavaria,Ludwig-Maximilians-Universität (LMU) München,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital,Dr. von Haunersches Kinderspital,,,,,,"Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, Ludwig-Maximilians-Universität (LMU) München",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022380,https://www.covid-kids-bavaria.de/covid-kids,Cross sectional,"School, Kindergarten/Daycare",Students in 15 selected elementary schools from all 46 electoral districts in Bavaria,General population,Children/adolescents ≤18 years,12,6,Convenience sample,Participants,511,500,2020-06-15,2020-07-15,,,,,,Seroprevalence of children attending elementary school in Bavaria for the period of June/July 2021,https://doi.org/10.3389/fped.2022.888498,2022-07-06,Peer-reviewed Publikation,capillary blood,anti Nucleocapsid,Multiple antibodies,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,,,,0.076,0.055,0.103,2022-01-27,2022-08-09,
Teilprojekt der COVID Kids Bavaria Studie,Local/Regional,Bavaria,Bavaria,Munich,,,,,"Bavaria, focus on Munich",Ludwig-Maximilians-Universität (LMU) München,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital,Dr. von Haunersches Kinderspital,,,,,,"Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, Ludwig-Maximilians-Universität (LMU) München",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022380,https://www.covid-kids-bavaria.de/covid-kids,Cross sectional,"School, Kindergarten/Daycare",Students and teachers at selected elementary schools in Bavaria,General population and selected population groups,Multiple,,5,Convenience sample,Participants,,1000,2021-04-15,,"https://doi.org/10.1101/2022.01.18.22269445 ",https://dx.doi.org/10.3389/fped.2022.888498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Nationwide,Nationwide,Germany,,,,,,Nationwide,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Longitudinal/Prospectice cohort study,Household and Community Samples,Participants from the long-established representative forsa cohort of the adult population,General population,Adults,,18,Cohort-sample - Sampling from existing cohort study in the general population,Participants,,11000,2020-06-30,2020-08-12,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Nationwide,Nationwide,Germany,,,,,,Nationwide,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Longitudinal/Prospectice cohort study,Household and Community Samples,Participants from the long-established representative forsa cohort of the adult population,General population,Adults,,18,Cohort-sample - Sampling from existing cohort study in the general population,Participants,10221,10200,2020-06-30,2020-08-12,,,,,,Seroprevalence from the first study wave of participants in the forsa cohort,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,2020-11-27,Institutional report,whole blood,anti Nucleocapsid,Total antibody,"ELISA ",ROCHE N,,,,,,,ROCHE N,Population-weighted,,,0.005,0.0038,0.0065,2021-08-06,2021-11-01,1.8
"SARS-CoV-2: Eine dynamische, bundesweit-repräsentative Untersuchung (Corona-BUND-Studie)",Nationwide,Nationwide,Germany,,,,,,Nationwide,Charité - Universitätsmedizin Berlin,PI Health Solutions GmbH Berlin,Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin,Cologne Center for Genomics (CCG) der Universität zu Köln,Atlas Biolabs GmbH Berlin,ifo Institut für Wirtschaftsforschung München,,,"Charité - Universitätsmedizin Berlin, PI Health Solutions GmbH Berlin, Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH Berlin, Cologne Center for Genomics (CCG) der Universität zu Köln, Atlas Biolabs GmbH Berlin, ifo Institut für Wirtschaftsforschung München ",,https://pi-healthsolutions.com/de/forschung-entwicklung/,Longitudinal/Prospectice cohort study,Household and Community Samples,Participants from the long-established representative forsa cohort of the adult population,General population,Adults,,18,Cohort-sample - Sampling from existing cohort study in the general population,Participants,9929,9900,2020-10-26,2020-11-18,,,,,,Seroprevalence from the second study wave of participants in the forsa cohort,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,2020-11-27,Institutional report,whole blood,anti Nucleocapsid,Total antibody,"ELISA ",ROCHE N,,,,,,,ROCHE N,Population-weighted,,,0.0111,0.0092,0.0133,2021-08-06,2021-11-03,
"Prospektive, sero-epidemiologische Längsschnittstudie zur SARS-CoV-2 Prävalenz bei Kita-, Kindergarten- und Schulkindern – Eine Tübinger Modellstudie (Coro-Buddy)",Local/Regional,Baden-Wuerttemberg,Tübingen,,,,,,Tübingen,"Eberhard Karls Universität Tübingen, Institut für Tropenmedizin",Eberhard Karls Universität Tübingen,,,,,,,"Institut für Tropenmedizin, Eberhard Karls Universität Tübingen",https://clinicaltrials.gov/ct2/show/NCT04581889,https://www.medizin.uni-tuebingen.de/de/covid-19-studie,Longitudinal/Prospectice cohort study,"School, Kindergarten/Daycare","Children and teenagers from Tübingen daycare centers, kindergartens and schools",General population,Children/adolescents ≤18 years,17,1,Convenience sample,Participants,1850,1900,2020-07-02,2020-12-02,https://doi.org/10.2196/27739,https://doi.org/10.3389/fimmu.2021.753435,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-04,
"Prospektive, sero-epidemiologische Längsschnittstudie zur SARS-CoV-2 Prävalenz bei Kita-, Kindergarten- und Schulkindern – Eine Tübinger Modellstudie (Coro-Buddy)",Local/Regional,Baden-Wuerttemberg,Tübingen,,,,,,Tübingen,"Eberhard Karls Universität Tübingen, Institut für Tropenmedizin",Eberhard Karls Universität Tübingen,,,,,,,"Institut für Tropenmedizin, Eberhard Karls Universität Tübingen",https://clinicaltrials.gov/ct2/show/NCT04581889,https://www.medizin.uni-tuebingen.de/de/covid-19-studie,Longitudinal/Prospectice cohort study,"School, Kindergarten/Daycare","Children and teenagers from Tübingen daycare centers, kindergartens and schools",General population,Children/adolescents ≤18 years,10,1,Convenience sample,Participants,837,800,2020-09-09,2020-12-02,,,,,,"Seroprevalence among children aged 1-10 years from Tübingen daycare centers, kindergartens and schools",https://doi.org/10.3389/fimmu.2021.753435,2021-10-08,Peer-reviewed Publikation,"no blood, sputum",anti -RBD domain,IgG,"ELISA ",In-house,,,,,,,Inhouse,Adjusted for test-specificity/test-sensitivity,0.87,1,0.016,0.009,0.029,2022-01-09,2022-02-01,3
UKGM-Mitarbeiter-Reihenuntersuchung zur Entwicklung eines SARS-CoV-2 („Coronavirus“)-Antikörpertiters,Local/Regional,Hesse,Marburg,,,,,,Marburg,Universitätsklinikum Marburg,Universitätsklinikum Gießen und Marburg,,,,,,,"Universitätsklinikum Marburg (UKGM, Standort Marburg)",,,Cross sectional,Healthcare workers and caregivers,Employees of UKGM,Selected population groups,Adults,,18,Entire sample,Participants,,3600,2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Häufigkeit und Einflussfaktoren auf frühe STadien A und B der Herzinsuffizienz in der Bevölkerung (STAAB) – COVID-Programm,Local/Regional,Bavaria,Würzburg,,,,,,Würzburg,Deutsches Zentrum für Herzinsuffizienz,"Universität Würzburg, Institut für Klinische Epidemiologie und Biometrie",Universität Würzburg,,,,,,"Institut für Klinische Epidemiologie und Biometrie Würzburg, Deutsches Zentrum für Herzinsuffizienz",,https://www.ukw.de/behandlungszentren/dzhi/ambulante-behandlung/staab-covid-programm/,Cross sectional and selective longitudinal,Household and Community Samples,Participants already included in the STAAB cohort,General population,Adults,87,32,Cohort-sample - Sampling from existing cohort study in the general population,Participants,3001,3000,2020-06-15,2020-10-15,https://www.uni-wuerzburg.de/aktuelles/einblick/single/news/ergebnisse-aus-staab-covid/,https://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1630-7601.pdf,,,,Participants already included in the STAAB cohort,https://doi.org/10.1055/a-1630-7601,2021-10-12,Peer-reviewed Publikation,whole blood,anti Nucleocapsid,Total antibody,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,0.995,0.998,0.011,0.007,0.015,,2021-11-01,
